score,BA,H,RBI,BB,k,SB,holds,avgR,ER,bb,SO,nHR
6,37,13,5,3,9,3,13,6,4,3,9,1
2,35,13,2,2,7,1,13,2,1,2,7,0
1,30,6,1,1,2,0,6,1,1,1,2,0
1,33,8,1,1,4,0,8,1,1,1,4,1
4,28,6,4,4,4,0,6,4,2,4,4,0
1,29,5,1,3,6,0,5,1,1,3,6,0
7,35,12,6,3,4,1,12,7,6,3,4,2
1,33,8,1,1,2,0,8,1,1,1,2,0
6,33,10,6,2,0,1,10,6,6,2,0,1
6,35,9,6,3,5,0,9,6,6,3,5,1
1,33,6,1,4,6,1,6,1,0,4,6,0
4,33,10,2,1,5,0,10,4,0,1,5,0
0,28,2,0,2,5,0,2,0,0,2,5,0
6,35,9,5,4,5,1,9,6,6,4,5,1
2,34,7,2,0,5,0,7,2,2,0,5,0
7,35,11,6,1,2,1,11,7,6,1,2,1
0,32,6,0,1,2,2,6,0,0,1,2,0
9,39,15,9,5,6,1,15,9,8,5,6,2
3,29,5,3,7,7,1,5,3,0,7,7,0
5,34,8,5,3,3,0,8,5,5,3,3,0
0,28,2,0,0,2,0,2,0,0,0,2,0
8,40,13,7,2,5,0,13,8,7,2,5,0
0,27,4,0,3,5,1,4,0,0,3,5,0
3,34,6,2,6,7,1,6,3,1,6,7,0
3,35,10,2,2,5,1,10,3,2,2,5,1
0,30,5,0,2,7,1,5,0,0,2,7,0
11,38,13,8,2,3,3,13,11,7,2,3,0
12,39,17,12,2,4,3,17,12,11,2,4,1
2,33,10,1,2,7,1,10,2,2,2,7,0
14,40,16,12,4,5,0,16,14,12,4,5,2
3,33,7,2,4,8,1,7,3,1,4,8,0
2,31,5,2,1,8,2,5,2,0,1,8,0
4,28,5,2,3,8,0,5,4,1,3,8,1
7,38,9,5,2,6,0,9,7,2,2,6,1
7,37,12,6,4,3,2,12,7,4,5,3,1
7,32,8,5,10,5,3,8,7,6,10,5,0
4,35,10,4,4,8,0,10,4,4,4,8,1
3,32,8,1,6,4,1,8,3,3,6,4,0
4,31,8,4,5,5,3,8,4,4,5,5,0
6,33,10,6,3,6,0,10,6,6,3,6,1
2,30,4,2,3,6,0,4,2,2,3,6,0
6,38,9,6,0,7,0,9,6,1,0,7,1
1,29,6,1,3,7,0,6,1,0,3,7,0
10,38,16,9,1,6,0,16,10,9,1,6,4
3,35,9,2,2,2,1,9,3,3,2,2,1
4,39,8,4,0,5,0,8,4,2,0,5,1
4,36,8,4,3,7,0,8,4,4,3,7,2
10,40,16,9,4,4,1,16,10,9,4,4,2
8,32,7,7,8,5,0,7,8,7,8,5,0
4,28,6,3,3,8,0,6,4,3,3,8,1
0,29,3,0,3,8,1,3,0,0,3,8,0
3,34,8,3,4,4,0,8,3,3,4,4,0
4,34,13,4,0,2,0,13,4,4,0,2,1
12,40,13,12,6,7,1,13,12,8,6,7,0
2,30,4,2,1,7,1,4,2,2,1,7,0
2,32,4,2,3,10,2,4,2,1,3,10,0
5,29,9,4,2,4,0,9,5,3,2,4,2
2,33,8,2,1,6,1,8,2,2,1,6,0
3,27,4,3,1,3,0,4,3,3,1,3,1
9,40,12,9,5,4,0,12,9,9,5,4,3
5,41,11,4,3,3,0,11,5,5,3,3,0
2,31,5,2,0,6,1,5,2,2,0,6,0
1,32,8,1,1,1,0,8,1,1,1,1,0
7,34,11,7,1,1,3,11,7,6,1,1,1
3,30,5,3,4,0,0,5,3,2,4,0,0
3,31,6,3,5,2,1,6,3,3,5,2,0
2,34,8,2,2,2,0,8,2,2,2,2,1
2,38,9,2,3,10,2,9,2,2,3,10,0
3,34,9,3,1,6,0,9,3,3,1,6,1
3,33,10,2,0,3,1,10,3,2,0,3,0
1,29,5,0,2,4,0,5,1,0,2,4,0
12,44,17,11,1,6,1,17,12,9,1,6,0
6,40,13,5,1,3,1,13,6,3,1,3,0
4,35,8,3,3,5,0,8,4,1,3,5,0
8,33,7,7,4,5,0,7,8,1,4,5,1
3,34,7,3,1,7,0,7,3,3,1,7,2
6,34,12,6,0,2,1,12,6,5,0,2,2
2,32,6,1,1,3,0,6,2,1,1,3,0
9,38,14,7,4,4,1,14,9,6,4,4,1
6,35,11,5,5,2,0,11,6,5,5,2,0
0,28,2,0,2,9,0,2,0,0,2,9,0
2,35,10,2,2,3,0,10,2,2,2,3,0
4,32,10,4,5,3,1,10,4,4,5,3,0
11,41,13,9,5,4,2,13,11,9,5,4,1
6,38,12,6,0,5,0,12,6,5,0,5,4
1,29,5,1,0,5,0,5,1,1,0,5,0
2,28,6,2,3,4,0,6,2,1,3,4,1
6,39,11,5,2,9,1,11,6,5,2,9,1
5,35,8,4,2,5,2,8,5,5,2,5,0
7,36,10,6,3,6,1,10,7,5,3,6,1
6,37,11,5,1,2,1,11,6,5,1,2,0
9,32,9,8,2,5,1,9,9,6,2,5,1
3,38,9,3,1,5,0,9,3,3,1,5,0
