score,BA,H,RBI,BB,k,SB,holds,avgR,ER,bb,SO,nHR
3,34,10,2,2,8,1,10,3,2,2,8,0
1,32,4,0,3,6,0,4,1,0,3,6,0
8,37,12,7,7,9,0,12,8,7,7,9,0
6,35,11,6,2,7,0,11,6,4,2,7,1
10,44,19,9,2,2,0,19,10,9,2,2,3
9,41,13,8,3,6,0,13,9,6,3,6,1
3,41,9,3,4,11,1,9,3,3,4,11,0
1,42,10,1,2,6,0,10,1,1,2,6,1
4,45,15,4,2,13,0,15,4,4,2,13,0
4,41,11,3,3,6,2,11,4,2,3,6,0
2,30,3,2,3,6,0,3,2,2,3,6,0
3,30,9,3,1,8,4,9,3,3,1,8,1
2,36,10,2,4,2,1,10,2,2,4,2,0
4,30,8,4,4,5,0,8,4,4,4,5,0
2,30,5,2,3,5,0,5,2,2,3,5,0
0,30,5,0,6,8,2,5,0,0,6,8,0
2,37,11,1,2,4,0,11,2,2,2,4,1
3,38,10,2,1,6,1,10,3,3,1,6,0
3,31,5,2,0,2,1,5,3,2,0,2,1
8,36,13,7,1,8,1,13,8,8,1,8,1
1,34,5,1,6,7,1,5,1,1,6,7,1
2,34,7,2,6,5,0,7,2,2,6,5,1
7,38,14,6,2,3,2,14,7,7,2,3,0
1,32,7,1,2,9,0,7,1,1,2,9,0
1,35,7,1,0,4,1,7,1,0,0,4,0
4,30,7,4,4,5,2,7,4,3,4,5,0
9,34,9,9,4,11,1,9,9,9,4,11,0
4,34,11,4,5,11,0,11,4,4,5,11,0
4,37,10,4,4,5,0,10,4,4,4,5,2
7,31,8,6,2,9,0,8,7,4,2,9,0
1,36,8,1,3,5,1,8,1,1,3,5,0
10,38,14,7,6,7,1,14,10,3,6,7,0
4,32,9,4,2,4,1,9,4,4,2,4,2
8,32,8,6,3,0,0,8,8,3,3,0,0
3,34,12,3,2,6,0,12,3,1,2,6,0
4,30,6,4,2,7,1,6,4,4,2,7,1
2,31,6,0,1,6,0,6,2,0,1,6,0
6,31,12,6,0,8,0,12,6,6,0,8,1
1,30,5,1,4,1,0,5,1,1,4,1,0
0,31,3,0,0,8,1,3,0,0,0,8,0
9,36,12,8,3,7,0,12,9,9,3,7,3
5,35,9,5,2,3,1,9,5,4,2,3,1
6,38,13,4,3,8,1,13,6,5,3,8,0
3,35,10,3,5,5,2,10,3,3,5,5,1
3,35,7,1,1,4,0,7,3,1,1,4,0
4,36,9,3,1,4,1,9,4,2,1,4,0
9,36,14,8,1,4,0,14,9,6,1,4,0
3,37,12,3,3,7,0,12,3,3,3,7,1
0,30,3,0,0,8,0,3,0,0,0,8,0
13,40,17,12,2,5,0,17,13,13,2,5,2
0,34,5,0,2,9,0,5,0,0,2,9,0
0,35,4,0,7,12,2,4,0,0,7,12,0
3,36,10,3,3,6,0,10,3,3,3,6,1
7,35,14,7,3,4,1,14,7,7,3,4,2
4,35,8,4,0,5,0,8,4,3,0,5,1
5,32,9,5,3,2,1,9,5,5,3,2,1
5,34,9,5,6,7,0,9,5,3,6,7,0
2,34,7,2,1,5,0,7,2,2,1,5,0
3,31,6,3,6,6,2,6,3,2,6,6,1
4,32,7,1,3,3,1,7,4,1,3,3,0
2,32,11,2,3,0,3,11,2,2,3,0,0
3,30,7,2,3,8,0,7,3,2,3,8,0
9,36,10,7,5,4,1,10,9,7,5,4,0
7,39,14,7,3,7,1,14,7,7,3,7,0
5,38,12,4,1,5,0,12,5,4,1,5,0
4,37,11,4,1,5,0,11,4,4,1,5,3
5,35,12,4,4,4,0,12,5,5,4,4,0
1,33,7,1,2,5,0,7,1,1,2,5,0
6,38,12,5,0,2,2,12,6,4,0,2,3
1,39,13,1,5,7,0,13,1,1,5,7,0
4,32,11,4,0,4,0,11,4,4,0,4,1
0,32,7,0,5,11,0,7,0,0,5,11,0
7,40,12,4,1,8,1,12,7,4,1,8,1
10,35,12,10,4,8,0,12,10,10,4,8,2
11,35,12,11,4,5,0,12,11,10,4,5,2
12,38,14,10,8,9,1,14,12,10,8,9,2
11,46,18,11,5,7,3,18,11,8,5,7,1
5,35,8,4,5,7,0,8,5,4,5,7,1
6,38,13,5,2,2,0,13,6,6,2,2,2
9,38,13,9,2,6,1,13,9,9,2,6,0
0,31,4,0,1,5,1,4,0,0,1,5,0
4,30,7,3,1,10,0,7,4,2,1,10,0
12,41,18,12,5,5,0,18,12,10,5,5,0
2,34,9,2,0,8,0,9,2,2,0,8,0
1,32,7,1,0,6,0,7,1,1,0,6,0
5,32,10,5,1,2,0,10,5,4,1,2,0
6,36,11,4,3,6,0,11,6,6,3,6,0
5,39,13,5,3,7,0,13,5,5,3,7,0
4,38,9,4,3,5,0,9,4,4,3,5,1
5,34,11,5,5,5,0,11,5,4,5,5,2
10,36,11,10,5,2,0,11,10,10,5,2,0
7,39,11,6,5,5,0,11,7,4,5,5,1
15,43,16,15,5,6,0,16,15,13,5,6,3
7,37,10,5,1,6,0,10,7,3,1,6,1
0,32,5,0,1,10,2,5,0,0,1,10,0
7,35,13,5,2,7,2,13,7,6,2,7,1
5,38,12,5,1,9,1,12,5,4,1,9,1
4,32,5,4,4,14,1,5,4,4,4,14,0
2,37,11,2,4,5,2,11,2,2,4,5,0
3,30,7,3,3,5,2,7,3,3,3,5,0
2,30,6,2,1,1,0,6,2,2,1,1,1
3,30,8,3,2,4,0,8,3,3,2,4,0
1,31,5,1,1,7,0,5,1,1,1,7,1
7,33,9,5,6,6,4,9,7,5,6,6,3
6,39,14,6,4,7,0,14,6,6,4,7,0
4,35,9,4,1,5,0,9,4,1,1,5,0
3,32,6,3,0,3,0,6,3,3,0,3,1
5,30,9,5,4,3,0,9,5,5,4,3,2
7,35,10,7,3,7,1,10,7,7,3,7,2
6,40,14,6,2,6,2,14,6,6,2,6,2
2,28,2,2,7,6,0,2,2,1,7,6,0
1,33,7,1,0,6,0,7,1,1,0,6,0
2,30,4,2,7,6,0,4,2,2,7,6,0
4,34,10,4,1,2,0,10,4,4,1,2,0
9,37,13,8,6,6,1,13,9,7,6,6,2
17,41,16,14,2,2,0,16,17,12,2,2,0
4,35,9,4,3,7,1,9,4,3,3,7,1
3,33,10,3,2,3,2,10,3,3,2,3,0
7,41,14,7,1,9,1,14,7,7,1,9,2
6,41,13,5,4,6,1,13,6,6,4,6,0
5,36,9,4,2,6,0,9,5,4,2,6,1
2,31,6,2,2,8,0,6,2,2,2,8,1
4,32,8,3,2,2,0,8,4,1,2,2,0
3,34,8,1,3,2,1,8,3,1,3,2,1
3,29,5,3,3,3,1,5,3,2,3,3,1
12,34,15,12,5,3,2,15,12,11,5,3,0
8,40,14,7,3,5,1,14,8,7,3,5,2
1,33,7,1,4,4,1,7,1,1,4,4,0
8,35,10,7,6,10,0,10,8,7,6,10,1
5,31,9,4,3,8,0,9,5,5,3,8,0
4,34,10,2,2,6,0,10,4,3,2,6,0
5,35,11,3,3,6,0,11,5,1,3,6,0
10,44,16,8,3,6,2,16,10,7,3,6,2
8,38,12,7,7,6,1,12,8,7,7,6,1
7,30,8,6,5,4,0,8,7,4,5,4,0
5,39,11,5,0,4,0,11,5,3,0,4,2
5,44,15,5,0,6,2,15,5,3,0,6,0
4,38,9,4,2,7,0,9,4,4,2,7,2
3,33,11,3,2,5,1,11,3,3,2,5,1
7,33,13,7,6,5,0,13,7,7,6,5,1
6,35,10,4,2,3,0,10,6,4,2,3,0
11,40,15,9,6,6,1,15,11,8,6,6,0
5,33,10,4,4,2,0,10,5,2,4,2,1
2,28,5,2,2,5,0,5,2,0,2,5,0
8,38,13,8,5,6,0,13,8,8,5,6,1
3,35,9,3,3,9,2,9,3,3,3,9,0
16,44,17,15,9,7,0,17,16,11,9,7,2
11,42,16,10,1,6,1,16,11,10,1,6,1
10,40,14,9,2,5,0,14,10,10,2,5,2
8,36,11,8,6,5,2,11,8,8,6,5,1
4,37,9,4,8,6,0,9,4,4,8,6,0
7,37,10,7,3,7,4,10,7,7,3,7,2
3,33,7,3,4,9,1,7,3,3,4,9,0
10,33,12,8,6,4,0,12,10,8,6,4,0
3,34,7,3,0,10,1,7,3,3,0,10,0
1,29,7,1,2,8,0,7,1,1,2,8,1
8,39,17,7,2,2,2,17,8,7,2,2,0
7,37,13,7,7,3,1,13,7,5,7,3,0
2,36,11,2,3,4,0,11,2,2,3,4,2
5,31,10,5,2,4,1,10,5,5,2,4,0
7,37,11,7,3,5,1,11,7,5,3,5,0
2,32,7,2,7,3,1,7,2,2,7,3,0
8,40,12,7,4,10,3,12,8,7,4,10,0
9,37,10,9,5,6,0,10,9,9,5,6,1
16,46,21,14,2,6,0,21,16,13,2,6,3
23,47,26,22,8,5,0,26,23,22,8,5,2
7,36,9,7,5,4,0,9,7,4,5,4,1
6,36,13,6,7,3,1,13,6,6,7,3,1
3,36,11,3,3,11,0,11,3,2,3,11,0
1,33,6,1,3,10,1,6,1,1,3,10,1
6,31,6,6,6,4,2,6,6,6,6,4,2
5,33,7,5,3,5,0,7,5,5,3,5,1
1,32,7,1,1,7,0,7,1,1,1,7,0
5,30,6,5,0,4,0,6,5,5,0,4,2
3,36,10,2,4,8,0,10,3,1,4,8,0
8,37,14,8,7,6,1,14,8,8,7,6,0
7,38,13,4,6,8,0,13,7,3,6,8,1
4,33,8,4,2,14,0,8,4,4,2,14,2
3,34,7,3,8,4,1,7,3,3,8,4,0
12,36,14,12,3,5,0,14,12,11,3,5,2
8,35,10,8,4,7,0,10,8,6,4,7,2
14,45,21,14,3,7,3,21,14,11,3,7,1
3,36,10,3,0,4,0,10,3,3,0,4,0
20,45,21,19,6,6,0,21,20,18,6,6,3
2,30,5,2,5,6,0,5,2,2,5,6,1
0,31,6,0,3,5,0,6,0,0,3,5,0
4,30,6,4,3,5,1,6,4,4,3,5,2
1,31,4,1,2,9,0,4,1,0,2,9,0
0,31,4,0,1,13,0,4,0,0,1,13,0
3,32,9,3,2,5,2,9,3,3,2,5,1
3,32,5,3,5,9,2,5,3,3,5,9,1
1,31,5,1,1,3,1,5,1,0,1,3,0
1,30,5,1,1,8,0,5,1,1,1,8,1
3,31,9,3,3,6,1,9,3,3,3,6,0
4,34,8,4,2,8,0,8,4,4,2,8,2
3,35,9,3,1,7,0,9,3,3,1,7,0
12,39,15,9,5,3,2,15,12,7,5,3,1
2,35,9,2,2,4,0,9,2,2,2,4,0
6,38,9,5,5,9,2,9,6,5,5,9,0
5,37,9,5,2,12,2,9,5,5,2,12,2
5,39,12,4,1,6,1,12,5,4,1,6,0
2,34,10,2,6,6,0,10,2,2,6,6,1
10,40,15,8,4,6,1,15,10,5,4,6,2
3,34,10,3,2,5,1,10,3,3,2,5,1
2,31,7,2,3,8,0,7,2,2,3,8,0
1,31,4,1,3,8,0,4,1,1,3,8,0
4,33,7,2,5,11,2,7,4,3,5,11,0
6,33,10,5,1,7,0,10,6,6,1,7,1
8,39,13,8,1,10,0,13,8,4,1,10,0
5,30,8,4,9,7,1,8,5,5,9,7,2
11,36,10,9,10,5,0,10,11,7,10,5,1
2,33,5,2,4,4,2,5,2,1,4,4,0
5,38,11,5,1,11,1,11,5,4,1,11,1
4,35,10,4,3,6,1,10,4,3,3,6,0
10,42,15,7,7,7,1,15,10,7,7,7,0
3,36,7,3,2,9,0,7,3,3,2,9,1
4,32,6,4,2,7,2,6,4,4,2,7,0
3,34,9,3,3,10,0,9,3,3,3,10,1
4,33,9,3,5,3,1,9,4,4,5,3,0
5,31,7,5,4,7,1,7,5,5,4,7,1
9,40,9,9,4,0,0,9,9,4,4,0,0
2,31,7,1,0,4,0,7,2,2,0,4,0
9,40,14,8,6,5,1,14,9,6,6,5,1
2,34,8,2,1,5,1,8,2,2,1,5,2
5,38,11,4,4,8,0,11,5,4,4,8,1
6,35,9,6,1,5,0,9,6,0,1,5,0
5,40,13,4,0,10,0,13,5,4,0,10,1
8,33,9,8,6,7,1,9,8,8,6,7,1
6,34,9,5,8,4,0,9,6,4,8,4,2
1,29,5,1,2,6,1,5,1,1,2,6,1
4,32,8,3,4,9,0,8,4,1,4,9,0
2,34,11,2,3,6,0,11,2,2,3,6,0
0,34,9,0,0,7,1,9,0,0,0,7,0
5,35,12,4,4,6,2,12,5,3,4,6,0
4,36,13,4,1,7,3,13,4,3,1,7,1
13,40,18,13,2,3,0,18,13,12,2,3,3
1,32,8,1,1,8,0,8,1,1,1,8,0
2,30,7,2,2,3,0,7,2,2,2,3,1
7,39,11,6,5,7,3,11,7,3,5,7,0
3,33,9,3,1,5,0,9,3,1,1,5,0
3,36,9,3,4,8,1,9,3,1,4,8,0
5,28,9,5,1,2,3,9,5,5,1,2,0
3,38,12,3,0,5,0,12,3,1,0,5,0
0,33,7,0,2,9,0,7,0,0,2,9,0
9,35,10,9,6,4,0,10,9,9,6,4,1
2,35,9,2,0,6,0,9,2,1,0,6,0
8,36,10,5,3,4,1,10,8,5,3,4,0
2,34,8,2,1,10,0,8,2,2,1,10,1
10,39,13,10,2,8,2,13,10,10,2,8,2
6,37,11,6,4,6,0,11,6,6,4,6,0
5,34,9,4,1,7,0,9,5,5,1,7,1
4,31,6,4,1,8,0,6,4,2,1,8,0
14,41,20,12,2,7,0,20,14,13,2,7,1
2,32,8,2,4,10,0,8,2,2,4,10,0
0,32,6,0,0,3,1,6,0,0,0,3,0
4,31,10,4,1,4,2,10,4,3,1,4,1
5,32,6,5,3,9,2,6,5,4,3,9,0
1,33,6,1,1,11,0,6,1,0,1,11,0
4,34,11,4,2,6,0,11,4,4,2,6,0
0,31,3,0,1,8,0,3,0,0,1,8,0
1,32,6,1,2,8,2,6,1,1,2,8,0
2,30,8,2,3,10,0,8,2,0,3,10,0
10,35,14,9,7,7,0,14,10,9,7,7,2
2,35,12,2,2,5,0,12,2,2,2,5,0
8,37,14,8,3,5,1,14,8,8,3,5,1
1,34,8,1,3,2,0,8,1,1,3,2,0
3,36,10,3,1,4,1,10,3,3,1,4,1
2,33,7,1,6,8,1,7,2,2,6,8,1
0,30,5,0,1,8,0,5,0,0,1,8,0
5,27,7,5,4,4,1,7,5,5,4,4,2
8,37,13,8,3,2,0,13,8,8,3,2,0
2,32,7,2,3,8,0,7,2,2,3,8,1
7,39,10,5,2,4,0,10,7,5,2,4,1
3,31,5,3,5,5,0,5,3,3,5,5,0
3,33,7,3,2,6,2,7,3,3,2,6,1
4,33,8,4,1,2,1,8,4,4,1,2,2
17,52,21,17,4,6,0,21,17,10,4,6,0
6,37,12,6,2,2,0,12,6,6,2,2,0
12,39,14,11,2,4,1,14,12,11,2,4,2
1,31,5,1,4,3,0,5,1,0,4,3,0
12,40,15,12,5,4,1,15,12,12,5,4,0
4,41,16,4,2,8,0,16,4,2,2,8,1
5,33,9,5,2,6,2,9,5,4,2,6,0
1,34,7,1,3,5,0,7,1,1,3,5,0
4,39,14,3,0,8,1,14,4,3,0,8,0
5,32,9,5,5,9,0,9,5,5,5,9,3
5,37,11,5,4,7,1,11,5,5,4,7,0
3,35,8,3,3,9,0,8,3,3,3,9,0
8,38,14,8,2,9,1,14,8,8,2,9,1
3,33,8,3,3,6,0,8,3,3,3,6,1
1,34,8,1,3,7,0,8,1,0,3,7,0
3,30,7,3,2,6,0,7,3,3,2,6,2
1,25,4,1,2,7,0,4,1,1,2,7,1
2,25,8,1,1,5,1,8,2,0,1,5,0
6,33,6,4,2,9,0,6,6,4,2,9,0
2,36,9,2,3,3,0,9,2,2,3,3,0
13,40,14,11,10,12,0,14,13,12,10,12,2
7,34,7,7,2,5,0,7,7,2,2,5,3
2,33,6,2,2,13,0,6,2,2,2,13,0
0,28,4,0,3,6,0,4,0,0,3,6,0
4,39,9,4,5,11,0,9,4,4,5,11,1
5,35,7,5,4,10,0,7,5,5,4,10,2
1,30,4,1,2,4,0,4,1,1,2,4,0
6,31,11,6,2,1,2,11,6,6,2,1,0
4,32,6,3,1,5,0,6,4,3,1,5,2
2,34,9,2,1,3,0,9,2,2,1,3,0
3,34,8,2,4,7,0,8,3,2,4,7,1
4,28,8,4,6,5,1,8,4,4,6,5,1
9,37,13,8,1,5,0,13,9,9,1,5,1
6,36,9,4,8,6,0,9,6,6,8,6,1
2,36,8,1,2,4,0,8,2,0,2,4,0
8,37,12,6,2,3,0,12,8,4,2,3,1
5,37,8,3,2,6,0,8,5,0,2,6,0
2,33,9,1,3,5,1,9,2,2,3,5,0
8,40,14,8,1,6,0,14,8,8,1,6,3
5,38,11,4,3,10,0,11,5,4,3,10,0
8,40,13,8,5,5,0,13,8,8,5,5,3
7,42,14,7,2,4,0,14,7,7,2,4,3
3,31,5,3,1,7,0,5,3,3,1,7,2
11,39,15,10,1,3,2,15,11,8,1,3,2
5,35,10,4,3,8,0,10,5,5,3,8,0
6,31,8,6,2,5,0,8,6,2,2,5,0
3,36,8,3,4,6,0,8,3,2,4,6,0
1,30,5,1,1,4,0,5,1,0,1,4,0
2,33,7,2,0,9,0,7,2,2,0,9,1
4,27,6,4,4,3,0,6,4,2,4,3,0
2,34,9,2,3,7,1,9,2,2,3,7,0
3,28,8,3,3,6,0,8,3,3,3,6,0
2,35,7,2,1,6,1,7,2,2,1,6,1
9,31,8,9,5,8,0,8,9,9,5,8,1
10,44,16,10,1,5,0,16,10,7,1,5,1
2,36,11,2,0,3,0,11,2,2,0,3,0
1,39,12,1,2,10,0,12,1,1,2,10,0
5,34,11,5,2,4,1,11,5,2,2,4,0
11,48,15,10,5,6,0,15,11,8,5,6,0
8,38,9,7,3,7,0,9,8,5,3,7,2
2,32,7,2,0,11,0,7,2,2,0,11,2
3,29,9,3,3,4,0,9,3,3,3,4,0
10,37,12,9,7,5,0,12,10,8,7,5,2
1,32,5,1,2,3,1,5,1,1,2,3,0
17,50,23,16,3,4,1,23,17,16,3,4,2
12,47,19,10,0,8,0,19,12,8,0,8,1
4,36,9,3,0,5,0,9,4,2,0,5,0
1,33,8,0,0,5,0,8,1,1,0,5,0
4,31,4,4,2,6,0,4,4,4,2,6,1
3,36,6,2,1,6,0,6,3,1,1,6,0
10,44,16,10,1,5,0,16,10,7,1,5,1
2,36,11,2,0,3,0,11,2,2,0,3,0
0,34,9,0,2,6,0,9,0,0,2,6,0
3,30,7,3,3,9,0,7,3,3,3,9,1
2,19,4,2,1,1,0,4,2,2,1,1,0
5,19,6,5,2,2,0,6,5,5,2,2,1
1,33,5,1,3,11,0,5,1,1,3,11,1
2,32,7,1,0,5,3,7,2,1,0,5,1
0,33,7,0,2,11,1,7,0,0,2,11,0
2,27,5,1,3,4,0,5,2,1,3,4,0
4,31,7,4,2,7,2,7,4,4,2,7,1
5,32,12,4,1,8,0,12,5,5,1,8,1
3,33,7,3,2,4,0,7,3,3,2,4,0
7,39,15,5,3,4,2,15,7,5,3,4,1
2,30,6,2,2,4,0,6,2,2,2,4,0
3,28,6,3,1,4,0,6,3,3,1,4,0
3,32,7,2,5,3,0,7,3,3,5,3,0
5,35,12,5,2,2,1,12,5,4,2,2,0
5,39,11,5,3,4,1,11,5,5,3,4,0
6,43,17,6,0,8,2,17,6,4,0,8,1
0,28,3,0,0,5,1,3,0,0,0,5,0
1,26,1,1,1,7,0,1,1,0,1,7,0
5,37,10,4,1,7,1,10,5,2,1,7,0
3,34,7,3,2,6,0,7,3,1,2,6,0
8,38,11,8,8,8,1,11,8,7,8,8,1
2,31,7,2,4,7,0,7,2,2,4,7,0
3,35,11,3,4,9,0,11,3,3,4,9,0
7,33,11,7,6,6,1,11,7,7,6,6,3
3,37,13,1,2,6,2,13,3,2,2,6,0
4,33,10,4,3,6,3,10,4,4,3,6,1
11,43,18,11,1,4,1,18,11,11,1,4,1
12,38,15,12,4,3,0,15,12,9,4,3,2
2,35,10,1,3,11,0,10,2,1,3,11,0
7,34,9,7,3,6,0,9,7,6,3,6,2
3,28,5,3,5,6,0,5,3,3,5,6,0
4,34,9,4,2,7,1,9,4,4,2,7,0
7,36,7,5,3,5,1,7,7,1,3,5,0
1,35,7,1,2,7,2,7,1,1,2,7,0
9,38,13,8,2,3,1,13,9,8,2,3,1
14,38,15,14,4,6,1,15,14,14,4,6,3
6,35,12,6,3,0,1,12,6,6,3,0,1
1,30,4,1,0,8,1,4,1,1,0,8,1
4,36,8,3,2,9,0,8,4,2,2,9,0
6,35,14,5,2,2,0,14,6,3,2,2,1
4,49,15,4,1,10,2,15,4,4,1,10,0
2,44,14,2,3,9,0,14,2,2,3,9,0
8,38,11,7,4,8,0,11,8,5,4,8,1
9,34,10,8,2,2,0,10,9,3,2,2,1
1,32,7,1,2,6,0,7,1,1,2,6,1
4,27,6,4,3,5,0,6,4,4,3,5,0
2,33,7,2,1,3,0,7,2,2,1,3,0
5,35,12,5,3,4,0,12,5,5,3,4,1
3,36,11,3,8,9,0,11,3,3,8,9,0
9,34,11,7,6,3,1,11,9,7,6,3,0
8,39,11,6,2,6,0,11,8,6,2,6,1
2,33,8,2,0,5,1,8,2,2,0,5,0
8,37,12,8,6,6,0,12,8,5,6,6,0
0,33,6,0,2,6,0,6,0,0,2,6,0
7,40,15,7,1,10,0,15,7,7,1,10,2
6,35,10,5,4,7,0,10,6,5,4,7,0
11,41,15,10,4,6,0,15,11,10,4,6,1
6,38,11,6,4,3,1,11,6,6,4,3,1
6,35,9,6,2,8,0,9,6,3,2,8,0
3,37,7,3,2,6,1,7,3,1,2,6,0
2,42,9,2,3,6,0,9,2,1,3,6,0
3,35,6,1,5,9,1,6,3,1,5,9,0
9,38,13,8,2,3,1,13,9,8,2,3,1
14,38,15,14,4,6,1,15,14,14,4,6,3
6,35,12,6,3,0,1,12,6,6,3,0,1
1,30,4,1,0,8,1,4,1,1,0,8,1
4,36,8,3,2,9,0,8,4,2,2,9,0
6,35,14,5,2,2,0,14,6,3,2,2,1
4,49,15,4,1,10,2,15,4,4,1,10,0
2,44,14,2,3,9,0,14,2,2,3,9,0
8,38,11,7,4,8,0,11,8,5,4,8,1
9,34,10,8,2,2,0,10,9,3,2,2,1
1,32,7,1,2,6,0,7,1,1,2,6,1
4,27,6,4,3,5,0,6,4,4,3,5,0
2,33,7,2,1,3,0,7,2,2,1,3,0
5,35,12,5,3,4,0,12,5,5,3,4,1
3,36,11,3,8,9,0,11,3,3,8,9,0
9,34,11,7,6,3,1,11,9,7,6,3,0
8,39,11,6,2,6,0,11,8,6,2,6,1
2,33,8,2,0,5,1,8,2,2,0,5,0
8,37,12,8,6,6,0,12,8,5,6,6,0
0,33,6,0,2,6,0,6,0,0,2,6,0
7,40,15,7,1,10,0,15,7,7,1,10,2
6,35,10,5,4,7,0,10,6,5,4,7,0
11,41,15,10,4,6,0,15,11,10,4,6,1
6,38,11,6,4,3,1,11,6,6,4,3,1
6,35,9,6,2,8,0,9,6,3,2,8,0
3,37,7,3,2,6,1,7,3,1,2,6,0
2,42,9,2,3,6,0,9,2,1,3,6,0
3,35,6,1,5,9,1,6,3,1,5,9,0
0,32,8,0,0,4,3,8,0,0,0,4,0
1,34,10,0,4,8,0,10,1,0,4,8,0
5,34,11,5,4,7,1,11,5,5,4,7,0
8,35,11,6,1,3,1,11,8,2,1,3,0
5,46,12,4,5,5,0,12,5,5,5,5,0
5,46,11,5,4,4,1,11,5,5,4,4,0
2,32,8,2,3,1,1,8,2,2,3,1,0
3,34,11,3,1,9,0,11,3,3,1,9,0
6,35,7,6,5,8,0,7,6,4,5,8,1
8,34,14,8,3,6,0,14,8,8,3,6,1
8,35,11,8,2,4,0,11,8,5,2,4,0
1,31,4,1,5,3,0,4,1,1,5,3,0
0,29,3,0,1,5,1,3,0,0,1,5,0
8,33,8,8,3,5,0,8,8,6,3,5,1
2,32,9,2,0,6,2,9,2,2,0,6,0
8,32,11,7,5,3,0,11,8,8,5,3,0
7,44,12,6,4,6,1,12,7,7,4,6,0
4,41,11,4,3,6,0,11,4,4,3,6,0
0,29,2,0,2,3,1,2,0,0,2,3,0
6,33,10,6,1,5,0,10,6,6,1,5,0
9,40,14,7,2,5,0,14,9,5,2,5,0
10,36,12,10,4,4,1,12,10,10,4,4,0
3,30,6,3,3,7,0,6,3,3,3,7,1
5,31,9,5,3,4,0,9,5,5,3,4,3
8,40,13,7,1,4,0,13,8,2,1,4,0
5,33,8,5,5,5,0,8,5,3,5,5,0
4,36,9,3,3,9,0,9,4,3,3,9,1
8,32,10,7,6,4,0,10,8,8,6,4,2
3,34,4,3,2,5,0,4,3,1,2,5,0
6,31,9,6,6,4,0,9,6,6,6,4,0
0,32,5,0,0,7,0,5,0,0,0,7,0
5,32,10,4,5,5,1,10,5,4,5,5,0
6,38,10,6,4,6,2,10,6,3,4,6,0
2,39,11,2,3,10,0,11,2,2,3,10,1
3,37,12,3,2,4,0,12,3,3,2,4,0
9,36,13,9,0,3,0,13,9,9,0,3,0
11,48,18,8,3,9,4,18,11,7,3,9,0
2,34,8,2,3,7,1,8,2,1,3,7,0
2,32,5,2,1,6,0,5,2,2,1,6,0
5,33,10,5,2,11,1,10,5,5,2,11,0
3,31,5,3,2,6,0,5,3,3,2,6,0
2,35,9,2,2,5,1,9,2,2,2,5,1
5,35,11,4,3,5,0,11,5,4,3,5,0
3,35,8,3,1,4,1,8,3,3,1,4,2
6,37,10,4,2,4,0,10,6,2,2,4,0
3,38,11,2,4,8,0,11,3,2,4,8,0
4,36,14,4,2,8,0,14,4,2,2,8,0
3,29,4,3,4,5,1,4,3,3,4,5,0
1,35,7,1,1,6,2,7,1,1,1,6,0
7,30,10,7,2,6,1,10,7,7,2,6,2
22,56,26,21,3,2,1,26,22,18,3,2,3
2,34,8,2,1,9,0,8,2,1,1,9,0
8,34,11,8,3,9,0,11,8,6,3,9,0
5,34,9,5,6,4,0,9,5,5,6,4,0
1,31,6,1,2,7,0,6,1,1,2,7,0
8,35,12,8,0,4,1,12,8,5,0,4,1
3,34,9,3,2,10,0,9,3,3,2,10,1
5,31,9,5,1,3,1,9,5,5,1,3,2
2,42,5,0,2,10,1,5,2,0,2,10,0
2,41,8,2,6,9,2,8,2,2,6,9,1
2,35,10,2,0,6,1,10,2,2,0,6,0
4,30,5,4,2,6,0,5,4,4,2,6,1
1,32,6,1,0,7,1,6,1,1,0,7,0
8,33,11,8,4,3,0,11,8,5,4,3,0
6,40,13,6,5,9,0,13,6,6,5,9,2
16,41,19,16,6,5,1,19,16,16,6,5,2
1,32,6,0,2,8,1,6,1,0,2,8,0
2,26,3,2,4,4,2,3,2,2,4,4,0
0,29,5,0,2,13,0,5,0,0,2,13,0
2,26,5,2,1,6,0,5,2,1,1,6,0
5,39,9,5,0,4,4,9,5,1,0,4,0
3,33,8,3,0,9,0,8,3,3,0,9,0
1,32,6,0,1,4,1,6,1,0,1,4,0
3,32,9,1,2,3,1,9,3,0,2,3,0
11,53,19,11,4,10,1,19,11,9,4,10,2
10,51,14,8,3,2,4,14,10,6,3,2,0
10,43,17,9,5,7,2,17,10,7,5,7,1
3,33,7,3,2,5,5,7,3,3,2,5,0
0,32,4,0,3,8,0,4,0,0,3,8,0
1,31,8,1,1,2,0,8,1,1,1,2,0
13,43,17,13,4,6,0,17,13,11,4,6,1
3,33,10,3,1,7,0,10,3,3,1,7,1
5,36,9,4,5,7,0,9,5,3,5,7,0
11,43,20,11,4,3,0,20,11,11,4,3,3
5,36,10,4,4,8,1,10,5,4,4,8,0
1,29,5,1,2,5,0,5,1,1,2,5,1
1,31,6,0,3,8,0,6,1,0,3,8,0
2,30,8,2,2,2,0,8,2,2,2,2,1
13,43,16,12,6,8,1,16,13,12,6,8,1
0,31,4,0,1,5,1,4,0,0,1,5,0
2,34,10,2,3,6,0,10,2,1,3,6,0
6,32,8,6,2,5,0,8,6,4,2,5,2
10,44,15,10,2,11,1,15,10,9,2,11,0
4,42,14,4,1,5,0,14,4,4,1,5,0
4,35,9,3,1,7,0,9,4,4,1,7,1
10,38,13,9,4,3,2,13,10,5,4,3,0
